Data collection started on {01/24/2018 14:13:47.471}
[Time] 	 [G1.X] 	 [G1.Y] 	 [G1.Z] 	 [G2.X] 	 [G2.Y] 	 [G2.Z] 	 [G3.X] 	 [G3.Y] 	 [G3.Z] 	 [G4.X] 	 [G4.Y] 	 [G4.Z] 	 [A1.X] 	 [A1.Y] 	 [A1.Z] 	 [A2.X] 	 [A2.Y] 	 [A2.Z] 	 [A3.X] 	 [A3.Y] 	 [A3.Z] 	 [A4.X] 	 [A4.Y] 	 [A4.Z] 	 [M1.X] 	 [M1.Y] 	 [M1.Z] 	 [M2.X] 	 [M2.Y] 	 [M2.Z] 	 [M3.X] 	 [M3.Y] 	 [M3.Z] 	 [M4.X] 	 [M4.Y] 	 [M4.Z] 	 [EMG1] 	 [EMG2] 	 [PULSE A] 	 [PULSE B]	
16.2400000000	-0.2975509270	-2.2659647517	-2.2659647517	0.2975509270	1.4267185473	1.6250858320	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6629129473	-0.2301670863	-0.6280003052	0.3236743725	-0.0966201266	-0.8749523156	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0108339055	0.0243839170	-0.3046616312	0.0843213550	-0.0153505760	-0.0148622873	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8699168383	2.7966735332	2.4750377661	2.4750377661	
16.2600000000	-0.4806591897	0.0228885328	-1.6556038758	-0.3280689708	2.0981155108	1.7471580072	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6654764630	-0.2344396124	-0.6210421912	0.3203784237	-0.0969863432	-0.8701915007	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0102235447	0.0256046387	-0.3040512703	0.0870069429	-0.0127870603	-0.0169985504	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8857862211	2.8039978637	2.4750377661	2.4750377661	
16.2800000000	-0.4959182116	1.1215381094	-1.5487907225	-0.7705806058	2.5101091020	1.9760433356	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6713359274	-0.2371252003	-0.6266575113	0.3302662699	-0.1000381476	-0.8704356451	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0107728695	0.0242008087	-0.3047837034	0.0923781186	-0.0157167926	-0.0190127413	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8845654994	2.8186465248	2.4750377661	2.4750377661	
16.3000000000	-0.7553215839	0.5722133211	-1.6250858320	-0.6332494087	2.1744106203	1.7929350729	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6820782788	-0.2360265507	-0.6378881514	0.3371023117	-0.0979629206	-0.8712901503	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0102845808	0.0239566644	-0.3050888838	0.0877393759	-0.0180361639	-0.0214541848	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8931105516	2.8101014725	2.4750377661	2.4750377661	
16.3200000000	-0.4043640803	-1.3046463722	-0.7400625620	-0.6637674525	1.5487907225	1.6250858320	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6880598154	-0.2350499733	-0.6483863584	0.3390554665	-0.0901503014	-0.8737315938	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0105897612	0.0243228809	-0.3031357290	0.0868848707	-0.0158388647	-0.0271915770	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.9028763256	2.8162050813	2.4750377661	2.4750377661	
16.3400000000	0.9384298466	-2.8000305180	0.2517738613	0.0686655985	0.7553215839	1.8997482261	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6900129702	-0.2272373541	-0.6505836576	0.3390554665	-0.0858777752	-0.8788586252	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0097352560	0.0237735561	-0.3042954147	0.0878614481	-0.0155336843	-0.0204776074	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8955519951	2.8235294118	2.4750377661	2.4750377661	
16.3600000000	1.9913023575	-3.4256504158	0.6332494087	0.6485084306	0.0839246204	1.7929350729	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6846417945	-0.2230869001	-0.6513160906	0.3358815900	-0.0829480430	-0.8766613260	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0108949416	0.0246280613	-0.3057602808	0.0897535668	-0.0129091325	-0.0299382010	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8747997253	2.7930113680	2.4750377661	2.4750377661	
16.3800000000	1.4877546349	-3.8071259632	0.8468757153	1.2436102846	0.0381475547	1.9302662699	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6754863813	-0.2230869001	-0.6474097810	0.3277027543	-0.0847791257	-0.8679942016	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0097352560	0.0242008087	-0.3049668116	0.0859082933	-0.0151064317	-0.0283512627	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.9065384909	2.8076600290	2.4750377661	2.4750377661	
16.4000000000	1.7624170291	-3.8681620508	0.3280689708	1.7929350729	0.5874723430	1.6098268101	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6702372778	-0.2163729305	-0.6422827497	0.3226977951	-0.0820935378	-0.8721446555	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0100404364	0.0242618448	-0.3052719921	0.0851148241	-0.0168764782	-0.0258487831	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8955519951	2.8088807507	2.4750377661	2.4750377661	
16.4200000000	1.4114595254	-4.1275654231	-0.9689478904	1.8844892042	0.9231708248	1.1520561532	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6653543908	-0.2147859922	-0.6464332036	0.3211108568	-0.0872205692	-0.8728770886	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0102845808	0.0244449531	-0.3055771725	0.0870679789	-0.0143129625	-0.0173037308	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8979934386	2.8064393072	2.4750377661	2.4750377661	
16.4400000000	0.8468757153	-4.0970473793	-2.6932173648	1.7776760510	1.0147249561	0.7248035401	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6629129473	-0.2158846418	-0.6454566262	0.3222095064	-0.0862439918	-0.8749523156	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0112001221	0.0229190509	-0.3047226673	0.0892042420	-0.0157778286	-0.0325017166	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8943312734	2.8064393072	2.4750377661	2.4750377661	
16.4600000000	0.3280689708	-3.3646143282	-3.9444571603	1.6403448539	1.4114595254	0.4043640803	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6651102464	-0.2197909514	-0.6428931106	0.3223315785	-0.0913710231	-0.8736095216	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0099794003	0.0244449531	-0.3038071260	0.0899366751	-0.0129091325	-0.0268863966	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8967727169	2.8076600290	2.4750377661	2.4750377661	
16.4800000000	0.7095445182	-1.8997482261	-4.3869687953	1.6708628977	1.8844892042	0.5111772335	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6626688029	-0.2213778897	-0.6345922026	0.3202563516	-0.0881971466	-0.8673838407	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0110170138	0.0244449531	-0.3050888838	0.0882276646	-0.0126039521	-0.0238345922	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8857862211	2.7930113680	2.4750377661	2.4750377661	
16.5000000000	0.1754787518	-0.6790264744	-4.0207522698	-0.1602197299	2.1438925765	0.4043640803	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6637674525	-0.2300450141	-0.6350804913	0.3267261769	-0.0980849928	-0.8690928511	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0105287251	0.0247501335	-0.3052109560	0.0880445563	-0.0176699474	-0.0180361639	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.9248493172	2.8223086900	2.4750377661	2.4750377661	
16.5200000000	-1.4877546349	-0.0381475547	-2.9983978027	-0.4959182116	2.3727779049	1.5030136568	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6778057527	-0.2421301595	-0.6331273365	0.3372243839	-0.1008926528	-0.8743419547	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0110170138	0.0244449531	-0.3053940642	0.0852368963	-0.0123598077	-0.0075379568	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8967727169	2.8223086900	2.4750377661	2.4750377661	
16.5400000000	-1.7166399634	0.0228885328	-2.1438925765	-1.6250858320	2.2812237736	2.2354467079	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6776836805	-0.2523842222	-0.6322728313	0.3349050126	-0.1051651789	-0.8743419547	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0107728695	0.0242618448	-0.3035629816	0.0881666285	-0.0145571069	-0.0154726482	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8955519951	2.8320744640	2.4750377661	2.4750377661	
16.5600000000	-0.7400625620	0.1754787518	-0.3280689708	-1.0299839780	2.0828564889	2.6779583429	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6815899901	-0.2493324178	-0.6337376974	0.3385671778	-0.1004043641	-0.8754406043	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0107728695	0.0240787366	-0.3035629816	0.0878004120	-0.0152895399	-0.0056458381	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8882276646	2.8064393072	2.4750377661	2.4750377661	
16.5800000000	0.3280689708	0.5874723430	0.8773937591	-0.7705806058	1.8539711604	2.9221026932	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6811017014	-0.2416418708	-0.6339818418	0.3320973526	-0.0983291371	-0.8740978103	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0100404364	0.0256046387	-0.3038681621	0.0873731594	-0.0158999008	-0.0232852674	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.9089799344	2.8125429160	2.4750377661	2.4750377661	
16.6000000000	0.9994659342	0.2670328832	0.7858396277	-0.3280689708	1.4419775692	2.6016632334	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6787823301	-0.2330968185	-0.6417944610	0.3294117647	-0.0957656214	-0.8714122225	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0101625086	0.0246890974	-0.3041733425	0.0878004120	-0.0152285039	-0.0273136492	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8918898299	2.7978942550	2.4750377661	2.4750377661	
16.6200000000	0.7553215839	-0.9231708248	0.0991836423	0.2212558175	1.1673151751	2.1744106203	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6749980926	-0.2232089723	-0.6486305028	0.3306324865	-0.0899061570	-0.8734874495	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0097352560	0.0238956283	-0.3059433890	0.0859693294	-0.0139467460	-0.0300602731	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.9077592126	2.7844663157	2.4750377661	2.4750377661	
16.6400000000	0.5416952773	-1.8234531167	-0.3891050584	0.5874723430	0.8468757153	2.0981155108	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6749980926	-0.2214999619	-0.6544899672	0.3284351873	-0.0847791257	-0.8750743877	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0101014725	0.0237125200	-0.3060654612	0.0893263142	-0.0150453956	-0.0191348135	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8955519951	2.8039978637	2.4750377661	2.4750377661	
16.6600000000	0.9689478904	-2.2049286641	-0.9079118029	1.2283512627	0.9231708248	1.6861219196	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6743877317	-0.2160067140	-0.6514381628	0.3273365377	-0.0819714656	-0.8736095216	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0094911116	0.0242618448	-0.3041733425	0.0870679789	-0.0144350347	-0.0230411231	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.9126420996	2.7930113680	2.4750377661	2.4750377661	
16.6800000000	1.2893873503	-2.2812237736	-1.4572365911	1.7318989853	1.1367971313	1.4724956130	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6687724117	-0.2094148165	-0.6486305028	0.3279468986	-0.0757457847	-0.8739757382	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0099183642	0.0253604944	-0.3044785229	0.0851148241	-0.0147402152	-0.0353704128	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8918898299	2.7905699245	2.4750377661	2.4750377661	
16.7000000000	1.0147249561	-2.2354467079	-2.0981155108	1.8692301823	1.1825741970	1.1978332189	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6715800717	-0.2108796826	-0.6405737392	0.3302662699	-0.0803845274	-0.8676279850	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0108339055	0.0242618448	-0.3054551003	0.0890211337	-0.0154116121	-0.0151064317	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8821240558	2.8137636378	2.4750377661	2.4750377661	
16.7200000000	0.3433279927	-2.2964827955	-2.8152895399	1.5335317006	1.2436102846	1.2130922408	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6726787213	-0.2185702296	-0.6411841001	0.3331960021	-0.0867322805	-0.8708018616	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0101014725	0.0251773861	-0.3044174868	0.0874341955	-0.0144960708	-0.0243228809	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8809033341	2.7966735332	2.4750377661	2.4750377661	
16.7400000000	-0.1297016861	-2.0370794232	-2.8610666056	0.9231708248	1.1978332189	1.5182726787	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6720683604	-0.2243076219	-0.6359349966	0.3328297856	-0.0944228275	-0.8703135729	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0098573281	0.0242618448	-0.3045395590	0.0888990616	-0.0172426947	-0.0190127413	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8882276646	2.7905699245	2.4750377661	2.4750377661	
16.7600000000	-0.8773937591	-1.2283512627	-2.4032959487	-0.3128099489	1.1825741970	2.0675974670	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6775616083	-0.2343175402	-0.6319066148	0.3356374456	-0.0983291371	-0.8725108721	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0102235447	0.0246890974	-0.3052109560	0.0890821698	-0.0167544060	-0.0318913558	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.9089799344	2.8284122988	2.4750377661	2.4750377661	
16.7800000000	-0.5722133211	-0.2365148394	-1.1367971313	-0.5264362554	1.4419775692	2.3422598611	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6809796292	-0.2450598917	-0.6300755322	0.3360036622	-0.1023575189	-0.8688487068	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0106507973	0.0218814374	-0.3040512703	0.0878004120	-0.0176089113	-0.0245059892	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.9150835431	2.8125429160	2.4750377661	2.4750377661	
16.8000000000	-0.2365148394	0.3585870146	-0.0228885328	-0.6637674525	1.7013809415	2.6932173648	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6789044022	-0.2481116960	-0.6288548104	0.3334401465	-0.1068741894	-0.8679942016	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0105897612	0.0242618448	-0.3042343786	0.0862745098	-0.0152895399	-0.0137026017	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.9163042649	2.8186465248	2.4750377661	2.4750377661	
16.8200000000	-0.8468757153	0.0534065766	0.9079118029	-0.8773937591	1.4267185473	3.1204699779	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6787823301	-0.2416418708	-0.6457007706	0.3350270848	-0.1050431067	-0.8686045624	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0098573281	0.0252994583	-0.3041733425	0.0901808194	-0.0184023804	-0.0243228809	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.9065384909	2.8271915770	2.4750377661	2.4750377661	
16.8400000000	-0.1754787518	-0.6942854963	1.0452429999	-0.7553215839	1.1062790875	2.8152895399	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6753643091	-0.2228427558	-0.6500953689	0.3300221256	-0.0974746319	-0.8709239338	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0110780499	0.0242008087	-0.3051499199	0.0876173037	-0.0153505760	-0.0243839170	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.9004348821	2.7954528115	2.4750377661	2.4750377661	
16.8600000000	1.3962005035	-1.3504234379	1.1062790875	0.1754787518	1.1215381094	2.3117418173	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6688944839	-0.2089265278	-0.6543678950	0.3236743725	-0.0824597543	-0.8745860990	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0111390860	0.0249942779	-0.3037460899	0.0910353246	-0.0119935912	-0.0270695048	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.9114213779	2.8064393072	2.4750377661	2.4750377661	
16.8800000000	2.0523384451	-2.1286335546	0.5722133211	1.2130922408	0.7248035401	1.7776760510	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6702372778	-0.2105134661	-0.6554665446	0.3209887846	-0.0751354238	-0.8738536660	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0107118334	0.0251773861	-0.3037460899	0.0891432059	-0.0137026017	-0.0290836957	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8894483864	2.8039978637	2.4750377661	2.4750377661	
