[Time];[G1.X];[G1.Y];[G1.Z];[G2.X];[G2.Y];[G2.Z];[G3.X];[G3.Y];[G3.Z];[G4.X];[G4.Y];[G4.Z];[A1.X];[A1.Y];[A1.Z];[A2.X];[A2.Y];[A2.Z];[A3.X];[A3.Y];[A3.Z];[A4.X];[A4.Y];[A4.Z];[M1.X];[M1.Y];[M1.Z];[M2.X];[M2.Y];[M2.Z];[M3.X];[M3.Y];[M3.Z];[M4.X];[M4.Y];[M4.Z];[EMG1];[EMG2];[PULSEA];[PULSEB]
6.34;-0.877393759;-0.236514839;-1.121538109;1.670862898;1.640344854;3.013656825;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.672434577;-0.219058518;-0.629221027;0.324895094;-0.080628672;-0.875684749;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.011139086;0.024689097;-0.304112306;0.089021134;-0.014129854;-0.02200351;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.894331273;2.862592508;2.475037766;2.475037766
6.36;-0.526436255;0.541695277;-1.396200504;1.68612192;2.204928664;2.983138781;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.671824216;-0.221255818;-0.630807965;0.324773022;-0.079774167;-0.873365377;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.011017014;0.023529412;-0.304722667;0.089448386;-0.017242695;-0.012726024;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.896772717;2.860151064;2.475037766;2.475037766
6.38;0.129701686;-0.08392462;-0.740062562;1.792935073;2.128633555;2.662699321;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.682200351;-0.222232395;-0.637399863;0.33197528;-0.08502327;-0.868604562;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.01077287;0.024139773;-0.304295415;0.082673381;-0.015472648;-0.033112078;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.915083543;2.844281682;2.475037766;2.475037766
6.4;0.938429847;-1.396200504;-0.434882124;1.731898985;1.869230182;2.189669642;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.684519722;-0.22418555;-0.642038605;0.336858167;-0.084168765;-0.870801862;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.010589761;0.023834592;-0.305271992;0.085603113;-0.013153277;-0.029877165;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.895551995;2.855268177;2.475037766;2.475037766
6.42;1.533531701;-2.052338445;0.114442664;2.098115511;1.396200504;2.25070573;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.687449455;-0.225406272;-0.639963378;0.336614023;-0.085999847;-0.87129015;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.009918364;0.024322881;-0.304600595;0.090241856;-0.013458457;-0.025970855;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.921187152;2.854047456;2.475037766;2.475037766
6.44;2.693217365;-2.220187686;0.251773861;2.388036927;1.335164416;1.701380942;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.686594949;-0.221744106;-0.637399863;0.337834745;-0.086488136;-0.872999161;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.011200122;0.024689097;-0.30514992;0.085908293;-0.015228504;-0.014496071;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.869916838;2.846723125;2.475037766;2.475037766
6.46;2.784771496;-1.838712139;0.40436408;2.418554971;1.167315175;1.716639963;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.686594949;-0.226749065;-0.63166247;0.33868925;-0.087098497;-0.868604562;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.009063859;0.02481117;-0.305088884;0.089265278;-0.014679179;-0.002227817;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.902876326;2.861371786;2.475037766;2.475037766
6.48;2.479591058;-1.487754635;0.114442664;1.976043336;1.36568246;1.655603876;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.680003052;-0.226382849;-0.63166247;0.336736095;-0.09063859;-0.869214923;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.010406653;0.023529412;-0.305333028;0.087739376;-0.015350576;-0.024383917;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.866254673;2.834515908;2.475037766;2.475037766
6.5;2.128633555;-1.106279088;-0.022888533;1.426718547;1.335164416;1.85397116;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.681834134;-0.226016632;-0.630441749;0.33478294;-0.089662013;-0.868726635;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.009491112;0.024078737;-0.305516136;0.089753567;-0.013824674;-0.017303731;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.894331273;2.844281682;2.475037766;2.475037766
6.52;1.411459525;-1.319905394;-0.602731365;0.770580606;1.152056153;1.838712139;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.681467918;-0.227237354;-0.634836347;0.333318074;-0.08892958;-0.871534295;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.009124895;0.023041123;-0.305699245;0.088960098;-0.014373999;-0.017853056;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.885786221;2.836957351;2.475037766;2.475037766
